# q	O-Si	O-O	Si-Si	total
0.12762	504.00000	504.00000	504.00000	1961.81145
0.30811	0.05434	0.05434	0.05434	0.21151
0.40154	0.08065	0.08065	0.08065	0.31394
0.47630	0.11051	0.11051	0.11051	0.43015
0.54062	0.04382	0.04382	0.04382	0.17056
0.59799	0.11117	0.11117	0.11117	0.43271
0.67359	0.06731	0.06731	0.06731	0.26200
0.74385	0.12013	0.12013	0.12013	0.46762
0.76574	0.09872	0.09872	0.09872	0.38428
0.78645	0.16679	0.16679	0.16679	0.64921
0.82686	0.12265	0.12265	0.12265	0.47743
0.84656	0.18315	0.18315	0.18315	0.71290
0.86538	0.11089	0.11089	0.11089	0.43162
0.90226	0.08862	0.08862	0.08862	0.34495
0.93768	0.10725	0.10725	0.10725	0.41746
0.98802	0.27342	0.27342	0.27342	1.06429
1.03670	0.15990	0.15990	0.15990	0.62239
1.06767	0.30083	0.30083	0.30083	1.17098
1.08293	0.20913	0.20913	0.20913	0.81404
1.09776	0.43728	0.43728	0.43728	1.70212
1.12705	0.34101	0.34101	0.34101	1.32738
1.15560	0.38094	0.38094	0.38094	1.48282
1.18346	0.25923	0.25923	0.25923	1.00905
1.22384	0.34288	0.34288	0.34288	1.33466
1.26335	0.30992	0.30992	0.30992	1.20636
1.27624	0.43675	0.43675	0.43675	1.70003
1.28888	0.63530	0.63530	0.63530	2.47291
1.30151	0.48960	0.48960	0.48960	1.90576
1.31391	0.60237	0.60237	0.60237	2.34472
1.35043	0.37759	0.37759	0.37759	1.46977
1.37455	0.32774	0.32774	0.32774	1.27574
1.38630	0.77603	0.77603	0.77603	3.02068
1.42098	0.42524	0.42524	0.42524	1.65524
1.45509	0.64962	0.64962	0.64962	2.52863
1.47731	0.67831	0.67831	0.67831	2.64031
1.49920	0.77552	0.77552	0.77552	3.01869
1.52078	0.58182	0.58182	0.58182	2.26473
1.54205	0.72302	0.72302	0.72302	2.81436
1.56303	0.86901	0.86901	0.86901	3.38261
1.57345	0.37104	0.37104	0.37104	1.44428
1.59389	0.97601	0.97601	0.97601	3.79910
1.62436	0.81492	0.81492	0.81492	3.17205
1.63438	0.90399	0.90399	0.90399	3.51877
1.64429	0.75373	0.75373	0.75373	2.93388
1.66398	0.52478	0.52478	0.52478	2.04271
1.68345	0.82308	0.82308	0.82308	3.20383
1.69312	1.36576	1.36576	1.36576	5.31622
1.70269	0.75459	0.75459	0.75459	2.93724
1.71226	0.97262	0.97262	0.97262	3.78590
1.72172	0.49223	0.49223	0.49223	1.91601
1.74979	0.61268	0.61268	0.61268	2.38486
1.77757	1.61054	1.61054	1.61054	6.26900
1.78674	0.77999	0.77999	0.77999	3.03609
1.79581	0.50396	0.50396	0.50396	1.96165
1.81386	0.59629	0.59629	0.59629	2.32103
1.83173	0.46427	0.46427	0.46427	1.80716
1.84943	0.40317	0.40317	0.40317	1.56931
1.85823	0.61765	0.61765	0.61765	2.40420
1.86696	0.40706	0.40706	0.40706	1.58446
1.87568	0.40724	0.40724	0.40724	1.58516
1.89289	0.51872	0.51872	0.51872	2.01910
1.91859	0.41674	0.41674	0.41674	1.62214
1.92708	0.46849	0.46849	0.46849	1.82358
1.93550	0.59890	0.59890	0.59890	2.33121
1.95225	0.36801	0.36801	0.36801	1.43249
1.96060	0.61872	0.61872	0.61872	2.40836
1.97707	0.40398	0.40398	0.40398	1.57248
2.00169	0.39925	0.39925	0.39925	1.55408
2.02590	0.48537	0.48537	0.48537	1.88930
2.04993	1.05194	1.05194	1.05194	4.09466
2.06576	0.34910	0.34910	0.34910	1.35887
2.08147	0.47459	0.47459	0.47459	1.84733
2.09706	0.18642	0.18642	0.18642	0.72562
2.11254	0.30866	0.30866	0.30866	1.20144
2.12790	0.36955	0.36955	0.36955	1.43846
2.15070	0.41408	0.41408	0.41408	1.61180
2.17335	0.27731	0.27731	0.27731	1.07944
2.18084	0.36295	0.36295	0.36295	1.41277
2.18828	0.27309	0.27309	0.27309	1.06301
2.20312	0.29732	0.29732	0.29732	1.15732
2.21786	0.25504	0.25504	0.25504	0.99275
2.23250	0.22096	0.22096	0.22096	0.86007
2.24704	0.27462	0.27462	0.27462	1.06895
2.26865	0.26816	0.26816	0.26816	1.04379
2.29012	0.26270	0.26270	0.26270	1.02256
2.29723	0.22339	0.22339	0.22339	0.86953
2.30430	0.31240	0.31240	0.31240	1.21602
2.31839	0.32562	0.32562	0.32562	1.26748
2.32542	0.31160	0.31160	0.31160	1.21291
2.33240	0.14322	0.14322	0.14322	0.55749
2.34633	0.26967	0.26967	0.26967	1.04970
2.35327	0.29388	0.29388	0.29388	1.14392
2.36017	0.18936	0.18936	0.18936	0.73707
2.36707	0.25129	0.25129	0.25129	0.97815
2.38076	0.24092	0.24092	0.24092	0.93776
2.40122	0.18416	0.18416	0.18416	0.71685
2.40801	0.21017	0.21017	0.21017	0.81809
2.41475	0.21323	0.21323	0.21323	0.83001
2.42150	0.32005	0.32005	0.32005	1.24580
2.42820	0.25635	0.25635	0.25635	0.99784
2.44822	0.25522	0.25522	0.25522	0.99345
2.46812	0.18321	0.18321	0.18321	0.71313
2.47472	0.22114	0.22114	0.22114	0.86079
2.48782	0.23918	0.23918	0.23918	0.93102
2.50741	0.19314	0.19314	0.19314	0.75181
2.51390	0.17128	0.17128	0.17128	0.66672
2.52036	0.29488	0.29488	0.29488	1.14783
