# grid_size : 128
# q	O-Si	O-O	Si-Si	total
0.25253	0.02259	0.04437	0.01171	0.09875
0.35354	0.03742	0.07365	0.01933	0.16372
0.45455	0.04919	0.09251	0.02652	0.21074
0.55556	0.04800	0.08911	0.02646	0.20461
0.65657	0.03411	0.06003	0.02030	0.14239
0.75758	0.05849	0.09714	0.03678	0.23843
0.85859	0.05749	0.09374	0.03738	0.23302
0.95960	0.09985	0.15238	0.06799	0.39414
1.06061	0.13655	0.19693	0.09832	0.52857
1.16162	0.15303	0.21729	0.11239	0.58963
1.26263	0.24879	0.32822	0.19555	0.93653
1.36364	0.23617	0.30161	0.19359	0.88198
1.46465	0.32690	0.39700	0.28144	1.20459
1.56566	0.38314	0.44196	0.34818	1.39514
1.66667	0.37089	0.40991	0.35784	1.34182
1.76768	0.30666	0.33449	0.31212	1.11408
1.86869	0.23434	0.24675	0.26269	0.85552
1.96970	0.20810	0.21358	0.26767	0.77411
2.07071	0.16246	0.17908	0.26012	0.65032
2.17172	0.11084	0.15104	0.25791	0.52729
2.27273	0.07313	0.16450	0.27242	0.48781
2.37374	-0.00358	0.22543	0.30227	0.44779
2.47475	-0.15419	0.33122	0.40562	0.38000
2.57576	-0.31307	0.67007	0.46591	0.55022
2.67677	-0.63609	1.24070	0.61850	0.77329
2.77778	-0.83286	1.78941	0.66739	1.12253
2.87879	-0.69544	1.72451	0.54453	1.20473
2.97980	-0.34886	1.17788	0.34636	1.02271
3.08081	-0.18129	0.98388	0.25170	1.01941
3.18182	-0.12800	0.84722	0.22203	0.92907
3.28283	-0.05523	0.74926	0.21989	0.93505
3.38384	-0.04018	0.62723	0.21085	0.80944
3.48485	-0.02672	0.58438	0.25185	0.80629
3.58586	0.00726	0.58218	0.23815	0.85334
3.68687	0.02923	0.55255	0.23701	0.85478
3.78788	0.01912	0.50115	0.26124	0.79089
3.88889	0.02450	0.49551	0.27330	0.80073
3.98990	0.00858	0.48542	0.31783	0.78867
4.09091	0.02814	0.47044	0.34835	0.82282
4.19192	0.03943	0.46271	0.35018	0.83400
4.29293	0.04154	0.44713	0.39861	0.84856
4.39394	0.06589	0.44276	0.40875	0.89112
4.49495	0.08940	0.45254	0.41544	0.94706
4.59596	0.11545	0.49620	0.39818	1.03317
4.69697	0.14352	0.53259	0.41323	1.13379
4.79798	0.17444	0.59877	0.39723	1.25591
4.89899	0.17694	0.66716	0.36652	1.32311
5.00000	0.19466	0.77241	0.34921	1.46855
5.10101	0.19232	0.88156	0.32177	1.57820
5.20202	0.18371	0.97804	0.31504	1.67464
5.30303	0.14262	0.97254	0.28937	1.58220
5.40404	0.08020	0.94811	0.27136	1.43539
5.50505	0.05257	0.93003	0.27680	1.36990
5.60606	-0.00336	0.79216	0.26901	1.10491
5.70707	-0.01340	0.77306	0.28486	1.07461
5.80808	-0.03898	0.68045	0.30239	0.93097
5.90909	-0.04639	0.65801	0.31243	0.89764
6.01010	-0.05442	0.60462	0.33725	0.83530
6.11111	-0.05161	0.57226	0.34227	0.80452
6.21212	-0.05642	0.56359	0.34029	0.78473
6.31313	-0.06722	0.51936	0.36592	0.72909
6.41414	-0.06940	0.52805	0.36246	0.73362
6.51515	-0.07735	0.52993	0.37367	0.72914
6.61616	-0.08114	0.53135	0.36758	0.72065
6.71717	-0.08970	0.54958	0.36459	0.72598
6.81818	-0.10066	0.55997	0.37360	0.72517
6.91919	-0.10162	0.57223	0.35784	0.72856
7.02020	-0.09961	0.59392	0.33631	0.74475
7.12121	-0.09897	0.63658	0.33257	0.79452
7.22222	-0.08720	0.67097	0.32585	0.85161
7.32323	-0.07892	0.71043	0.30735	0.90160
7.42424	-0.06122	0.76498	0.30059	0.99288
7.52525	-0.03228	0.79014	0.30261	1.07359
7.62626	-0.00666	0.79810	0.30126	1.12605
7.72727	0.00870	0.81001	0.31258	1.17344
7.82828	0.01868	0.80667	0.31287	1.18668
7.92929	0.03997	0.79305	0.31864	1.21029
8.03030	0.05168	0.74816	0.32665	1.18157
8.13131	0.05354	0.71224	0.33301	1.14571
8.23232	0.05210	0.67571	0.34157	1.10484
8.33333	0.06650	0.65355	0.34442	1.10470
8.43434	0.06193	0.62612	0.35382	1.06986
8.53535	0.06045	0.60815	0.36322	1.05161
8.63636	0.06296	0.58913	0.35419	1.02767
8.73737	0.06473	0.58874	0.35795	1.03251
8.83838	0.05970	0.58287	0.34877	1.01130
8.93939	0.05777	0.58096	0.34537	1.00364
9.04040	0.05831	0.58282	0.33716	1.00177
9.14141	0.05618	0.59227	0.33005	1.00509
9.24242	0.05051	0.60376	0.32554	1.00637
9.34343	0.04046	0.63252	0.32240	1.02165
9.44444	0.03198	0.64294	0.31368	1.01428
9.54545	0.01985	0.66575	0.31673	1.02268
9.64646	0.00292	0.69694	0.31611	1.03063
9.74747	-0.00687	0.71032	0.32080	1.03276
9.84848	-0.01494	0.72258	0.31901	1.03252
9.94949	-0.02867	0.73249	0.32669	1.02561
