# r	O-Si	O-O	Si-Si	total
0.00625	0.00000	0.00000	0.00000	0.00000
0.01875	0.00000	0.00000	0.00000	0.00000
0.03125	0.00000	0.00000	0.00000	0.00000
0.04375	0.00000	0.00000	0.00000	0.00000
0.05625	0.00000	0.00000	0.00000	0.00000
0.06875	0.00000	0.00000	0.00000	0.00000
0.08125	0.00000	0.00000	0.00000	0.00000
0.09375	0.00000	0.00000	0.00000	0.00000
0.10625	0.00000	0.00000	0.00000	0.00000
0.11875	0.00000	0.00000	0.00000	0.00000
0.13125	0.00000	0.00000	0.00000	0.00000
0.14375	0.00000	0.00000	0.00000	0.00000
0.15625	0.00000	0.00000	0.00000	0.00000
0.16875	0.00000	0.00000	0.00000	0.00000
0.18125	0.00000	0.00000	0.00000	0.00000
0.19375	0.00000	0.00000	0.00000	0.00000
0.20625	0.00000	0.00000	0.00000	0.00000
0.21875	0.00000	0.00000	0.00000	0.00000
0.23125	0.00000	0.00000	0.00000	0.00000
0.24375	0.00000	0.00000	0.00000	0.00000
0.25625	0.00000	0.00000	0.00000	0.00000
0.26875	0.00000	0.00000	0.00000	0.00000
0.28125	0.00000	0.00000	0.00000	0.00000
0.29375	0.00000	0.00000	0.00000	0.00000
0.30625	0.00000	0.00000	0.00000	0.00000
0.31875	0.00000	0.00000	0.00000	0.00000
0.33125	0.00000	0.00000	0.00000	0.00000
0.34375	0.00000	0.00000	0.00000	0.00000
0.35625	0.00000	0.00000	0.00000	0.00000
0.36875	0.00000	0.00000	0.00000	0.00000
0.38125	0.00000	0.00000	0.00000	0.00000
0.39375	0.00000	0.00000	0.00000	0.00000
0.40625	0.00000	0.00000	0.00000	0.00000
0.41875	0.00000	0.00000	0.00000	0.00000
0.43125	0.00000	0.00000	0.00000	0.00000
0.44375	0.00000	0.00000	0.00000	0.00000
0.45625	0.00000	0.00000	0.00000	0.00000
0.46875	0.00000	0.00000	0.00000	0.00000
0.48125	0.00000	0.00000	0.00000	0.00000
0.49375	0.00000	0.00000	0.00000	0.00000
0.50625	0.00000	0.00000	0.00000	0.00000
0.51875	0.00000	0.00000	0.00000	0.00000
0.53125	0.00000	0.00000	0.00000	0.00000
0.54375	0.00000	0.00000	0.00000	0.00000
0.55625	0.00000	0.00000	0.00000	0.00000
0.56875	0.00000	0.00000	0.00000	0.00000
0.58125	0.00000	0.00000	0.00000	0.00000
0.59375	0.00000	0.00000	0.00000	0.00000
0.60625	0.00000	0.00000	0.00000	0.00000
0.61875	0.00000	0.00000	0.00000	0.00000
0.63125	0.00000	0.00000	0.00000	0.00000
0.64375	0.00000	0.00000	0.00000	0.00000
0.65625	0.00000	0.00000	0.00000	0.00000
0.66875	0.00000	0.00000	0.00000	0.00000
0.68125	0.00000	0.00000	0.00000	0.00000
0.69375	0.00000	0.00000	0.00000	0.00000
0.70625	0.00000	0.00000	0.00000	0.00000
0.71875	0.00000	0.00000	0.00000	0.00000
0.73125	0.00000	0.00000	0.00000	0.00000
0.74375	0.00000	0.00000	0.00000	0.00000
0.75625	0.00000	0.00000	0.00000	0.00000
0.76875	0.00000	0.00000	0.00000	0.00000
0.78125	0.00000	0.00000	0.00000	0.00000
0.79375	0.00000	0.00000	0.00000	0.00000
0.80625	0.00000	0.00000	0.00000	0.00000
0.81875	0.00000	0.00000	0.00000	0.00000
0.83125	0.00000	0.00000	0.00000	0.00000
0.84375	0.00000	0.00000	0.00000	0.00000
0.85625	0.00000	0.00000	0.00000	0.00000
0.86875	0.00000	0.00000	0.00000	0.00000
0.88125	0.00000	0.00000	0.00000	0.00000
0.89375	0.00000	0.00000	0.00000	0.00000
0.90625	0.00000	0.00000	0.00000	0.00000
0.91875	0.00000	0.00000	0.00000	0.00000
0.93125	0.00000	0.00000	0.00000	0.00000
0.94375	0.00000	0.00000	0.00000	0.00000
0.95625	0.00000	0.00000	0.00000	0.00000
0.96875	0.00000	0.00000	0.00000	0.00000
0.98125	0.00000	0.00000	0.00000	0.00000
0.99375	0.00000	0.00000	0.00000	0.00000
1.00625	0.00000	0.00000	0.00000	0.00000
1.01875	0.00000	0.00000	0.00000	0.00000
1.03125	0.00000	0.00000	0.00000	0.00000
1.04375	0.00000	0.00000	0.00000	0.00000
1.05625	0.00000	0.00000	0.00000	0.00000
1.06875	0.00000	0.00000	0.00000	0.00000
1.08125	0.00000	0.00000	0.00000	0.00000
1.09375	0.00000	0.00000	0.00000	0.00000
1.10625	0.00000	0.00000	0.00000	0.00000
1.11875	0.00000	0.00000	0.00000	0.00000
1.13125	0.00000	0.00000	0.00000	0.00000
1.14375	0.00000	0.00000	0.00000	0.00000
1.15625	0.00000	0.00000	0.00000	0.00000
1.16875	0.00000	0.00000	0.00000	0.00000
1.18125	0.00000	0.00000	0.00000	0.00000
1.19375	0.00000	0.00000	0.00000	0.00000
1.20625	0.00000	0.00000	0.00000	0.00000
1.21875	0.00000	0.00000	0.00000	0.00000
1.23125	0.00000	0.00000	0.00000	0.00000
1.24375	0.00000	0.00000	0.00000	0.00000
1.25625	0.00000	0.00000	0.00000	0.00000
1.26875	0.00000	0.00000	0.00000	0.00000
1.28125	0.00000	0.00000	0.00000	0.00000
1.29375	0.00000	0.00000	0.00000	0.00000
1.30625	0.00000	0.00000	0.00000	0.00000
1.31875	0.00000	0.00000	0.00000	0.00000
1.33125	0.00000	0.00000	0.00000	0.00000
1.34375	0.00000	0.00000	0.00000	0.00000
1.35625	0.00000	0.00000	0.00000	0.00000
1.36875	0.00000	0.00000	0.00000	0.00000
1.38125	0.00000	0.00000	0.00000	0.00000
1.39375	0.00000	0.00000	0.00000	0.00000
1.40625	0.00000	0.00000	0.00000	0.00000
1.41875	0.00000	0.00000	0.00000	0.00000
1.43125	0.00000	0.00000	0.00000	0.00000
1.44375	0.00000	0.00000	0.00000	0.00000
1.45625	0.00000	0.00000	0.00000	0.00000
1.46875	0.00000	0.00000	0.00000	0.00000
1.48125	0.00280	0.00000	0.00000	0.00109
1.49375	0.01971	0.00000	0.00000	0.00765
1.50625	0.07889	0.00000	0.00000	0.03061
1.51875	0.34407	0.00000	0.00000	0.13349
1.53125	1.03199	0.00000	0.00000	0.40040
1.54375	2.63921	0.00000	0.00000	1.02398
1.55625	5.35865	0.00000	0.00000	2.07909
1.56875	9.32790	0.00000	0.00000	3.61912
1.58125	13.27331	0.00000	0.00000	5.14990
1.59375	16.49114	0.00000	0.00000	6.39838
1.60625	18.14886	0.00000	0.00000	7.04155
1.61875	17.46062	0.00000	0.00000	6.77452
1.63125	15.37153	0.00000	0.00000	5.96398
1.64375	12.57761	0.00000	0.00000	4.87997
1.65625	9.73884	0.00000	0.00000	3.77856
1.66875	7.39398	0.00000	0.00000	2.86878
1.68125	5.73442	0.00000	0.00000	2.22489
1.69375	4.48043	0.00000	0.00000	1.73836
1.70625	3.64289	0.00000	0.00000	1.41340
1.71875	2.94409	0.00000	0.00000	1.14227
1.73125	2.51001	0.00000	0.00000	0.97385
1.74375	2.09845	0.00000	0.00000	0.81418
1.75625	1.83625	0.00000	0.00000	0.71245
1.76875	1.53220	0.00000	0.00000	0.59448
1.78125	1.30351	0.00000	0.00000	0.50575
1.79375	1.15540	0.00000	0.00000	0.44828
1.80625	0.94511	0.00000	0.00000	0.36669
1.81875	0.82303	0.00000	0.00000	0.31933
1.83125	0.70906	0.00000	0.00000	0.27511
1.84375	0.60892	0.00000	0.00000	0.23625
1.85625	0.50131	0.00000	0.00000	0.19450
1.86875	0.42991	0.00000	0.00000	0.16680
1.88125	0.37827	0.00000	0.00000	0.14676
1.89375	0.31882	0.00000	0.00000	0.12370
1.90625	0.28623	0.00000	0.00000	0.11105
1.91875	0.24445	0.00000	0.00000	0.09485
1.93125	0.20346	0.00000	0.00000	0.07894
1.94375	0.17378	0.00000	0.00000	0.06743
1.95625	0.15580	0.00000	0.00000	0.06045
1.96875	0.13694	0.00000	0.00000	0.05313
1.98125	0.12037	0.00000	0.00000	0.04670
1.99375	0.10497	0.00000	0.00000	0.04073
2.00625	0.10011	0.00000	0.00000	0.03884
2.01875	0.08181	0.00000	0.00000	0.03174
2.03125	0.07907	0.00000	0.00000	0.03068
2.04375	0.07125	0.00024	0.00000	0.02778
2.05625	0.06168	0.00000	0.00000	0.02393
2.06875	0.05807	0.00072	0.00000	0.02292
2.08125	0.05312	0.00283	0.00000	0.02215
2.09375	0.04923	0.00303	0.00000	0.02074
2.10625	0.04542	0.00899	0.00000	0.02250
2.11875	0.04739	0.01914	0.00000	0.02877
2.13125	0.04188	0.03828	0.00000	0.03702
2.14375	0.03939	0.06187	0.00000	0.04886
2.15625	0.03981	0.09525	0.00000	0.06714
2.16875	0.03914	0.14917	0.00000	0.09613
2.18125	0.03955	0.19970	0.00000	0.12372
2.19375	0.03655	0.26756	0.00000	0.15938
2.20625	0.03404	0.31056	0.00000	0.18173
2.21875	0.03407	0.36794	0.00083	0.21294
2.23125	0.03348	0.40636	0.00000	0.23351
2.24375	0.03636	0.40936	0.00000	0.23625
2.25625	0.03918	0.42613	0.00482	0.24678
2.26875	0.03418	0.43039	0.00397	0.24709
2.28125	0.03989	0.43178	0.00786	0.25033
2.29375	0.03985	0.46635	0.01244	0.26940
2.30625	0.04153	0.50150	0.01692	0.28943
2.31875	0.04394	0.55318	0.01522	0.31829
2.33125	0.04234	0.62009	0.02936	0.35496
2.34375	0.05176	0.71888	0.04171	0.41308
2.35625	0.04568	0.83820	0.04864	0.47595
2.36875	0.04138	0.99543	0.06635	0.56084
2.38125	0.04653	1.17115	0.07215	0.65860
2.39375	0.05087	1.36386	0.08925	0.76604
2.40625	0.05140	1.57018	0.11164	0.87976
2.41875	0.05909	1.76046	0.12028	0.98660
2.43125	0.06281	1.98775	0.16958	1.11480
2.44375	0.05943	2.22779	0.17607	1.24420
2.45625	0.06238	2.45980	0.21972	1.37428
2.46875	0.06645	2.69624	0.23495	1.50522
2.48125	0.06595	2.89391	0.30901	1.61743
2.49375	0.07910	3.11890	0.34605	1.74720
2.50625	0.07669	3.30720	0.40905	1.85281
2.51875	0.08109	3.47388	0.46368	1.94875
2.53125	0.08987	3.57725	0.52361	2.01241
2.54375	0.10321	3.69613	0.53934	2.08319
2.55625	0.09406	3.74992	0.63175	2.11524
2.56875	0.10694	3.78527	0.71056	2.14489
2.58125	0.11359	3.80335	0.76694	2.16119
2.59375	0.11447	3.70551	0.81795	2.11197
2.60625	0.12376	3.67261	0.81494	2.09752
2.61875	0.13645	3.58961	0.83880	2.05906
2.63125	0.14240	3.53816	0.86453	2.03522
2.64375	0.15847	3.36606	0.87452	1.94876
2.65625	0.16466	3.23994	0.92894	1.88650
2.66875	0.16499	3.08731	0.95185	1.80539
2.68125	0.17925	2.93226	0.95153	1.72676
2.69375	0.19704	2.76162	1.03011	1.64651
2.70625	0.19801	2.62152	1.03235	1.57101
2.71875	0.21252	2.41233	1.09594	1.46754
2.73125	0.21977	2.26210	1.12762	1.39102
2.74375	0.23937	2.14657	1.21030	1.34167
2.75625	0.24999	2.01689	1.31675	1.28280
2.76875	0.26068	1.89505	1.39241	1.22608
2.78125	0.27090	1.78339	1.47090	1.17489
2.79375	0.29430	1.67429	1.55264	1.13043
2.80625	0.31012	1.59551	1.62872	1.09910
2.81875	0.31832	1.48832	1.75488	1.05286
2.83125	0.34295	1.42685	1.81700	1.03337
2.84375	0.35044	1.35970	1.93058	1.00771
2.85625	0.34900	1.31222	2.05765	0.99020
2.86875	0.37592	1.25508	2.08748	0.97170
2.88125	0.39238	1.22006	2.15417	0.96371
2.89375	0.40927	1.15800	2.24358	0.94279
2.90625	0.41944	1.13935	2.36189	0.94481
2.91875	0.43434	1.08267	2.47233	0.92750
2.93125	0.45397	1.07714	2.51224	0.93488
2.94375	0.48801	1.05184	2.59246	0.93992
2.95625	0.49278	1.01968	2.67732	0.93021
2.96875	0.51916	0.99405	2.66874	0.92594
2.98125	0.54370	0.98136	2.61787	0.92505
2.99375	0.56621	0.96953	2.68553	0.93205
3.00625	0.57894	0.96805	2.66732	0.93492
3.01875	0.59346	0.92896	2.74629	0.92482
3.03125	0.62019	0.91130	2.74906	0.92580
3.04375	0.64126	0.89996	2.70180	0.92455
3.05625	0.66198	0.88473	2.60353	0.91751
3.06875	0.69428	0.88188	2.64449	0.93133
3.08125	0.70611	0.84749	2.53646	0.90977
3.09375	0.73119	0.85241	2.51216	0.92048
3.10625	0.73857	0.82425	2.51106	0.90799
3.11875	0.77577	0.81051	2.49476	0.91383
3.13125	0.80411	0.80635	2.37724	0.91442
3.14375	0.85340	0.79353	2.35506	0.92505
3.15625	0.83547	0.78315	2.28100	0.90733
3.16875	0.87218	0.77739	2.17258	0.91092
3.18125	0.89969	0.76149	2.02779	0.90293
3.19375	0.92234	0.75785	1.88520	0.89985
3.20625	0.93546	0.74449	1.69661	0.88461
3.21875	0.96977	0.72668	1.51800	0.87587
3.23125	0.97443	0.74301	1.29624	0.87116
3.24375	0.99278	0.72329	1.14862	0.85735
3.25625	1.04382	0.70126	0.98201	0.85364
3.26875	1.04361	0.70796	0.85696	0.84852
